question,answer
"Fate prodotti per la dieta senza proteine del latte?","Molti prodotti non contengono proteine del latte. Controlla l'etichetta per l'eventuale presenza di latte."
"Posso ottenere una consulenza nutrizionale da voi?","Non forniamo consulenza nutrizionale diretta. Consigliamo di rivolgersi a un nutrizionista."
"Fate prodotti per la cucina senza additivi?","La maggior parte dei nostri prodotti è senza additivi artificiali. Gli ingredienti sono sempre indicati in etichetta."
"Avete prodotti per la colazione con cereali integrali?","Sì, l'American Sandwich Integrale è fatto con farina integrale."
"Come posso fare una donazione di prodotti?","Per donazioni di prodotti a enti no‑profit, scrivi a info@moratogroup.com."
"Fate prodotti per la dieta senza soia?","Alcuni prodotti non contengono soia. Controlla l'etichetta per la dicitura 'può contenere tracce di soia'."
"Posso partecipare a un corso di panificazione con voi?","Organizziamo corsi per professionisti del settore. Per informazioni, scrivi a formazione@moratogroup.com."
"Fate prodotti per la cucina senza uova?","Molti prodotti non contengono uova. Verifica in etichetta la presenza di allergeni."
"Avete prodotti per la merenda con cioccolato?","Sì, abbiamo panini dolci con gocce di cioccolato, anche senza glutine."
"Come posso fare una segnalazione per un packaging non riciclabile?","Scrivi a info@moratogroup.com. Lavoriamo costantemente per migliorare la riciclabilità dei nostri imballi."
"Fate prodotti per la dieta senza frutta a guscio?","I nostri stabilimenti non utilizzano frutta a guscio, ma non possiamo escludere contaminazioni crociate. Leggi sempre l'etichetta."
"Posso ottenere un campione per una degustazione?","Non inviamo campioni a privati. Partecipiamo a fiere dove è possibile assaggiare i prodotti."
"Fate prodotti per la cucina senza conservanti?","La maggior parte dei nostri prodotti è senza conservanti artificiali. La conservazione avviene attraverso il congelamento o il controllo dell'umidità."
"Avete prodotti per la colazione con frutta?","Alcuni prodotti dolci contengono frutta (es. gocce di cioccolato, canditi). Controlla l'etichetta."
"Come posso fare una richiesta di informazione per una ricerca di mercato?","Per ricerche di mercato, scrivi a info@moratogroup.com."
"Fate prodotti per la dieta senza lievito?","Alcuni prodotti sono fatti con lievito madre, che è un lievito naturale. Non abbiamo linee completamente senza lievito."
"Posso ordinare prodotti con il mio logo?","Per prodotti personalizzati con branding, contatta l'ufficio vendite all'indirizzo info@moratogroup.com."
"Fate prodotti per la cucina senza sale aggiunto?","Non abbiamo linee senza sale aggiunto. Il sale è necessario per sapore e conservazione."
"Avete prodotti per la merenda salata?","Sì, abbiamo grissini, crackers e snack salati, anche senza glutine."
"Come posso segnalare un errore nell'etichetta?","Segnala eventuali errori in etichetta al servizio clienti. Provvederemo a correggerli immediatamente."
"Fate prodotti per la dieta senza grassi saturi?","I grassi saturi sono presenti in quantità molto basse (es. Spuntinelle: 0,6 g per 100g)[reference:22]."
"Posso visitare il centro ricerca e sviluppo?","Il centro R&S non è aperto al pubblico. Seguici sui social per scoprire le nostre innovazioni."
"Fate prodotti per la cucina senza glutine e senza soia?","Alcuni prodotti Nutrifree sono senza glutine e senza soia. Controlla l'etichetta."
"Avete prodotti per la colazione con proteine?","Sì, la linea Protein&Fiber è ricca di proteine (13,0 g per 100g)[reference:23]."
"Come posso fare una segnalazione per un odore sgradevole del prodotto?","Contatta il servizio clienti con il lotto e una descrizione. Investigheremo immediatamente."
"Fate prodotti per la dieta senza coloranti?","Non utilizziamo coloranti artificiali nei nostri prodotti."
"Posso ottenere una scheda tecnica di un prodotto?","Le schede tecniche sono disponibili per i clienti business. Richiedile a info@moratogroup.com."
"Fate prodotti per la cucina senza aromi artificiali?","Non usiamo aromi artificiali. I sapori derivano dagli ingredienti naturali."
"Avete prodotti per la merenda con yogurt?","Alcuni prodotti dolci contengono yogurt. Controlla l'etichetta."
"Come posso fare una richiesta di collaborazione con un blogger?","Per collaborazioni con influencer e blogger, scrivi a info@moratogroup.com."
"Fate prodotti per la dieta senza eccitanti?","I nostri prodotti non contengono caffeina o altri eccitanti."
"Posso ordinare prodotti per un test di mercato?","Per test di mercato, contatta l'ufficio marketing all'indirizzo info@moratogroup.com."
"Fate prodotti per la cucina senza grassi idrogenati?","Non utilizziamo grassi idrogenati. Usiamo oli vegetali non idrogenati."
"Avete prodotti per la colazione con miele?","Alcuni prodotti dolci contengono miele. Controlla l'etichetta."
"Come posso segnalare un problema di accessibilità sul sito?","Scrivi a info@moratogroup.com. Ci impegniamo a rendere il sito accessibile a tutti."
"Fate prodotti per la dieta senza solfiti?","Non aggiungiamo solfiti ai nostri prodotti. Possono essere presenti naturalmente in alcuni ingredienti."
"Posso ottenere una certificazione halal per i vostri prodotti?","Al momento non abbiamo certificazioni halal. Tutti i prodotti sono comunque di origine vegetale."
"Fate prodotti per la cucina senza burro?","Molti prodotti non contengono burro. Verifica in etichetta."
"Avete prodotti per la merenda con noci?","Non utilizziamo noci nei nostri prodotti, ma possono esserci tracce per contaminazione crociata."
"Come posso fare una segnalazione per un gusto anomalo?","Contatta il servizio clienti con il lotto e una descrizione del gusto. Sostituiremo il prodotto."
"Fate prodotti per la dieta senza lattosio e senza glutine?","Sì, la linea Nutrifree offre prodotti senza glutine e senza lattosio."
"Posso ordinare prodotti per un concorso?","Per concorsi e premi, contatta l'ufficio marketing all'indirizzo info@moratogroup.com."
"Fate prodotti per la cucina senza zucchero raffinato?","Alcuni prodotti non contengono zucchero raffinato. Controlla l'etichetta per 'senza aggiunta di zuccheri'."
"Avete prodotti per la colazione con cereali antichi?","Non utilizziamo cereali antichi in modo specifico. Usiamo farine di grano tenero, semola di grano duro e avena."
"Come posso fare una richiesta di intervista al management?","Per richieste di intervista, scrivi a info@moratogroup.com."
"Fate prodotti per la dieta senza olio di cocco?","Non utilizziamo olio di cocco. Usiamo oli di girasole e oliva."
"Posso ottenere un attestato di qualità per i vostri prodotti?","Le certificazioni sono disponibili sul sito. Per copie ufficiali, scrivi a info@moratogroup.com."
"Fate prodotti per la cucina senza amido modificato?","Non usiamo amido modificato. I nostri prodotti sono a base di farine naturali."
"Avete prodotti per la merenda con semi?","Alcuni prodotti contengono semi (es. sesamo). Controlla l'etichetta per gli allergeni."
"Come posso segnalare un problema di sicurezza alimentare?","Utilizza il canale di whistleblowing o scrivi a info@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza uova?","Sì, molti prodotti Nutrifree sono senza glutine e senza uova. Controlla l'etichetta."
"Posso ordinare prodotti per una manifestazione sportiva?","Sì, per eventi sportivi contatta l'ufficio eventi all'indirizzo info@moratogroup.com."
"Fate prodotti per la cucina senza gelatina?","Non utilizziamo gelatina. I nostri prodotti sono di origine vegetale."
"Avete prodotti per la colazione con bevande vegetali?","Non utilizziamo bevande vegetali nei nostri prodotti. L'ingrediente liquido principale è l'acqua."
"Come posso fare una segnalazione per un comportamento anti‑ecologico?","Scrivi a info@moratogroup.com. Apprezziamo le segnalazioni per migliorare."
"Fate prodotti per la dieta senza fruttosio?","Non aggiungiamo fruttosio. Lo zucchero presente è saccarosio."
"Posso ottenere una dichiarazione di conformità per un prodotto?","Le dichiarazioni di conformità sono disponibili per i clienti business. Richiedile a vendite@moratopane.com."
"Fate prodotti per la cucina senza latte in polvere?","Molti prodotti non contengono latte in polvere. Controlla l'etichetta."
"Avete prodotti per la merenda con cioccolato bianco?","Alcuni prodotti dolci contengono cioccolato bianco. Controlla l'etichetta."
"Come posso fare una richiesta di sponsorizzazione per un evento?","Per richieste di sponsorizzazione, scrivi a info@moratogroup.com."
"Fate prodotti per la dieta senza lievito e senza glutine?","Alcuni prodotti Nutrifree sono senza glutine e utilizzano lievito madre (naturale). Controlla l'etichetta."
"Posso ordinare prodotti per un workshop?","Per workshop, contatta l'ufficio formazione all'indirizzo info@moratogroup.com."
"Fate prodotti per la cucina senza coloranti carotenoidi?","Non usiamo coloranti carotenoidi. I colori derivano dagli ingredienti naturali."
"Avete prodotti per la colazione con fiocchi d'avena?","Sì, la linea Protein&Fiber contiene farina di avena[reference:24]."
"Come posso segnalare un problema di igiene in un punto vendita?","Segnala il punto vendita al servizio clienti con indirizzo e foto. Contatteremo il retailer."
"Fate prodotti per la dieta senza glutine e senza soia e senza latte?","Sì, alcuni prodotti Nutrifree sono privi di glutine, soia e latte. Cerca l'etichetta 'senza'."
"Posso ottenere un report di sostenibilità?","Il report di sostenibilità è disponibile sul sito nella sezione 'Sostenibilità'."
"Fate prodotti per la cucina senza additivi E‑number?","La maggior parte dei prodotti è senza additivi E‑number. Gli ingredienti sono semplici e naturali."
"Avete prodotti per la merenda con crema spalmabile?","Non produciamo creme spalmabili. I nostri prodotti sono da forno."
"Come posso fare una segnalazione per un imballaggio eccessivo?","Scrivi a info@moratogroup.com. Lavoriamo per ridurre gli imballi superflui."
"Fate prodotti per la dieta senza glutine e senza olio di palma?","Sì, i prodotti Nutrifree sono senza glutine e non contengono olio di palma."
"Posso ordinare prodotti per un evento benefico?","Per eventi benefici, scrivi a info@moratogroup.com. Valutiamo ogni richiesta."
"Fate prodotti per la cucina senza sciroppo di glucosio?","Non utilizziamo sciroppo di glucosio. I dolcificanti sono zucchero o miele."
"Avete prodotti per la colazione con frutta secca?","Alcuni prodotti contengono frutta secca (es. canditi). Controlla l'etichetta."
"Come posso fare una richiesta di informazioni per un documentario?","Per documentari, scrivi a info@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza uova e senza latte?","Sì, molti prodotti Nutrifree sono privi di glutine, uova e latte. Cerca l'etichetta 'senza'."
"Posso ottenere un kit didattico sul pane?","Non offriamo kit didattici, ma partecipiamo a progetti scolastici. Contatta info@moratogroup.com."
"Fate prodotti per la cucina senza agenti lievitanti chimici?","Usiamo lievito naturale (madre) o lievito di birra. Non usiamo agenti lievitanti chimici."
"Avete prodotti per la merenda con caramello?","Alcuni prodotti dolci contengono caramello. Controlla l'etichetta."
"Come posso segnalare un problema di tracciabilità?","Segnala al servizio clienti con il lotto. La tracciabilità è fondamentale per noi."
"Fate prodotti per la dieta senza glutine e senza frutta a guscio?","Sì, i prodotti Nutrifree sono senza glutine e non contengono frutta a guscio."
"Posso ordinare prodotti per un test sensoriale?","Per test sensoriali, contatta l'ufficio qualità all'indirizzo info@moratogroup.com."
"Fate prodotti per la cucina senza emulsionanti?","Alcuni prodotti contengono emulsionanti naturali (es. lecitina di soia). Controlla l'etichetta."
"Avete prodotti per la colazione con cereali soffiati?","Non utilizziamo cereali soffiati. Usiamo farine tradizionali."
"Come posso fare una segnalazione per un ritardo di consegna a un retailer?","Segnalalo con i dettagli del retailer. Ci coordineremo con il logistico."
"Fate prodotti per la dieta senza glutine e senza lattosio e senza soia?","Sì, alcuni prodotti Nutrifree sono privi di glutine, lattosio e soia. Cerca l'etichetta 'senza'."
"Posso ottenere una copia del bilancio aziendale?","Il bilancio è pubblico e disponibile sul sito nella sezione 'Investor Relations'."
"Fate prodotti per la cucina senza conservanti e senza coloranti?","Sì, la maggior parte dei nostri prodotti è senza conservanti e coloranti artificiali."
"Avete prodotti per la merenda con marmellata?","Non produciamo marmellate. I nostri prodotti sono da forno."
"Come posso fare una richiesta di utilizzo del logo per una tesi?","Per utilizzo del logo in contesti accademici, scrivi a info@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza lievito?","Alcuni prodotti Nutrifree sono senza glutine e utilizzano lievito madre (naturale). Controlla l'etichetta."
"Posso ordinare prodotti per una degustazione guidata?","Per degustazioni guidate, contatta l'ufficio marketing all'indirizzo info@moratogroup.com."
"Fate prodotti per la cucina senza grassi e senza zucchero?","Non abbiamo prodotti senza grassi e senza zucchero. I valori nutrizionali sono in etichetta."
"Avete prodotti per la colazione con caffè?","Non utilizziamo caffè nei nostri prodotti."
"Come posso segnalare un problema di etichettatura in lingua straniera?","Segnala al servizio clienti con foto. Correggeremo immediatamente."
"Fate prodotti per la dieta senza glutine e senza oli tropicali?","Sì, i prodotti Nutrifree sono senza glutine e non contengono oli tropicali (es. palma)."
"Posso ottenere una lettera di referenza per un fornitore?","Per lettere di referenza, scrivi a info@moratogroup.com."
"Fate prodotti per la cucina senza additivi e senza conservanti?","Sì, la maggior parte dei prodotti è senza additivi e conservanti artificiali."
"Avete prodotti per la merenda con formaggio?","Alcuni prodotti salati contengono formaggio. Controlla l'etichetta."
"Come posso fare una segnalazione per un comportamento non sostenibile di un fornitore?","Scrivi a info@moratogroup.com. Monitoriamo la catena di fornitura."
"Fate prodotti per la dieta senza glutine e senza sale?","Non abbiamo prodotti senza glutine e senza sale. Il sale è presente in quantità moderate."
"Posso ordinare prodotti per una fiera campionaria?","Per fiere, contatta l'ufficio eventi all'indirizzo info@moratogroup.com."
"Fate prodotti per la cucina senza aromi e senza coloranti?","Sì, non usiamo aromi e coloranti artificiali."
"Avete prodotti per la colazione con yogurt greco?","Non utilizziamo yogurt greco. Alcuni prodotti contengono yogurt normale."
"Come posso fare una richiesta di informazioni per un libro di ricette?","Per libri di ricette, scrivi a info@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza grassi saturi?","I prodotti Nutrifree sono senza glutine e hanno bassi contenuti di grassi saturi."
"Posso ottenere un video dei processi produttivi?","Alcuni video sono sul sito e sui social. Per materiale specifico, contatta info@moratogroup.com."
"Fate prodotti per la cucina senza additivi e senza emulsionanti?","Alcuni prodotti non contengono additivi né emulsionanti. Controlla l'etichetta."
"Avete prodotti per la merenda con pancetta?","Non produciamo prodotti a base di pancetta. I nostri prodotti sono da forno."
"Come posso segnalare un problema di allergia crociata?","Segnala al servizio clienti. Prendiamo molto seriamente le contaminazioni crociate."
"Fate prodotti per la dieta senza glutine e senza zucchero e senza latte?","Sì, alcuni prodotti Nutrifree sono privi di glutine, zucchero e latte. Cerca l'etichetta 'senza'."
"Posso ordinare prodotti per un evento di lancio?","Per eventi di lancio, contatta l'ufficio marketing all'indirizzo info@moratogroup.com."
"Fate prodotti per la cucina senza conservanti e senza antiossidanti?","Sì, non usiamo conservanti né antiossidanti artificiali."
"Avete prodotti per la colazione con sciroppo d'acero?","Non utilizziamo sciroppo d'acero. I dolcificanti sono zucchero o miele."
"Come posso fare una segnalazione per un packaging non sicuro per bambini?","Scrivi a info@moratogroup.com. La sicurezza è prioritaria."
"Fate prodotti per la dieta senza glutine e senza fruttosio e senza lattosio?","Sì, alcuni prodotti Nutrifree sono privi di glutine, fruttosio e lattosio. Controlla l'etichetta."
"Posso ottenere un attestato di partecipazione a un evento?","Per attestati, contatta l'ufficio eventi all'indirizzo info@moratogroup.com."
"Fate prodotti per la cucina senza additivi e senza grassi idrogenati?","Sì, non usiamo additivi artificiali né grassi idrogenati."
"Avete prodotti per la merenda con salumi?","Non produciamo salumi. I nostri prodotti sono da forno."
"Come posso fare una richiesta di collaborazione per una ricerca scientifica?","Per ricerche scientifiche, scrivi a info@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza olio di girasole?","I prodotti Nutrifree possono contenere olio di girasole. Controlla l'etichetta."
"Posso ordinare prodotti per un concorso culinario?","Per concorsi culinari, contatta l'ufficio marketing all'indirizzo info@moratogroup.com."
"Fate prodotti per la cucina senza conservanti e senza dolcificanti?","Sì, non usiamo conservanti né dolcificanti artificiali."
"Avete prodotti per la colazione con bevande energetiche?","No, i nostri prodotti non contengono bevande energetiche."
"Come posso segnalare un problema di igiene in uno stabilimento?","Utilizza il canale di whistleblowing o scrivi a info@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi?","Sì, molti prodotti Nutrifree sono senza glutine e senza additivi artificiali."
"Posso ottenere un report sulle emissioni di CO2?","Il report di sostenibilità include dati sulle emissioni. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza conservanti?","Sì, la maggior parte dei prodotti è senza additivi, coloranti e conservanti artificiali."
"Avete prodotti per la merenda con verdure?","Alcuni prodotti salati contengono verdure (es. carote nei grissini Scrikki)."
"Come posso fare una segnalazione per un problema di rispetto dei diritti umani?","Scrivi a info@moratogroup.com. Rispettiamo i diritti umani in tutta la catena."
"Fate prodotti per la dieta senza glutine e senza oli vegetali?","I prodotti Nutrifree contengono oli vegetali (es. girasole). Controlla l'etichetta."
"Posso ordinare prodotti per un evento culturale?","Per eventi culturali, contatta l'ufficio eventi all'indirizzo info@moratogroup.com."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza conservanti?","Sì, molti prodotti sono privi di additivi, emulsionanti e conservanti artificiali."
"Avete prodotti per la colazione con cereali integrali e frutta?","Alcuni prodotti integrali contengono frutta (es. gocce di cioccolato)."
"Come posso fare una richiesta di utilizzo di un'immagine del prodotto?","Per utilizzo di immagini, scrivi a info@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza sale e senza zucchero?","Non abbiamo prodotti senza glutine, sale e zucchero. I valori sono in etichetta."
"Posso ottenere un video tutorial sulle ricette?","Alcuni tutorial sono sui social. Per materiale specifico, contatta info@moratogroup.com."
"Fate prodotti per la cucina senza additivi e senza grassi e senza zucchero?","Non abbiamo prodotti senza additivi, grassi e zucchero. I valori nutrizionali sono in etichetta."
"Avete prodotti per la merenda con pesce?","No, i nostri prodotti non contengono pesce."
"Come posso segnalare un problema di equità commerciale?","Scrivi a info@moratogroup.com. Siamo impegnati nel commercio equo."
"Fate prodotti per la dieta senza glutine e senza latte e senza uova e senza soia?","Sì, alcuni prodotti Nutrifree sono privi di glutine, latte, uova e soia. Cerca l'etichetta 'senza'."
"Posso ordinare prodotti per un evento sportivo?","Per eventi sportivi, contatta l'ufficio eventi all'indirizzo info@moratogroup.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi?","Sì, non usiamo additivi, coloranti né aromi artificiali."
"Avete prodotti per la colazione con cereali e semi?","Alcuni prodotti contengono cereali e semi (es. sesamo). Controlla l'etichetta."
"Come posso fare una segnalazione per un problema di biodiversità?","Scrivi a info@moratogroup.com. Sosteniamo la biodiversità agricola."
"Fate prodotti per la dieta senza glutine e senza oli e senza emulsionanti?","I prodotti Nutrifree possono contenere oli e emulsionanti naturali. Controlla l'etichetta."
"Posso ottenere un report sul benessere animale?","Non utilizziamo ingredienti animali, quindi il report non è applicabile. Tutti i prodotti sono vegetali."
"Fate prodotti per la cucina senza additivi e senza conservanti e senza antiossidanti?","Sì, non usiamo additivi, conservanti né antiossidanti artificiali."
"Avete prodotti per la merenda con carne?","No, i nostri prodotti non contengono carne."
"Come posso fare una richiesta di partnership con un'università?","Per partnership universitarie, scrivi a info@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza frutta secca e senza semi?","Sì, molti prodotti Nutrifree sono privi di glutine, frutta secca e semi. Controlla l'etichetta."
"Posso ordinare prodotti per un evento di raccolta fondi?","Per eventi di raccolta fondi, contatta l'ufficio eventi all'indirizzo info@moratogroup.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza dolcificanti?","Sì, non usiamo additivi, coloranti né dolcificanti artificiali."
"Avete prodotti per la colazione con cereali e frutta secca?","Alcuni prodotti contengono cereali e frutta secca (es. canditi)."
"Come posso segnalare un problema di economia circolare?","Scrivi a info@moratogroup.com. Lavoriamo per un'economia circolare."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi?","I prodotti Nutrifree contengono oli vegetali in quantità moderate. I grassi sono necessari per la texture."
"Posso ottenere un report sulla diversità di genere in azienda?","Il report di sostenibilità include dati sulla diversità. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti?","Sì, molti prodotti sono privi di additivi, emulsionanti e coloranti artificiali."
"Avete prodotti per la merenda con legumi?","No, i nostri prodotti non contengono legumi."
"La busta è bucata","Mi spiace, controlla che il pane sia ancora edibile"
"Come posso fare una richiesta di collaborazione per un progetto sociale?","Per progetti sociali, scrivi a info@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza conservanti?","Sì, molti prodotti Nutrifree sono senza glutine, additivi e conservanti artificiali."
"Posso ordinare prodotti per un evento artistico?","Per eventi artistici, contatta l'ufficio eventi all'indirizzo info@moratogroup.com."
"Fate prodotti per la cucina senza additivi e senza grassi e senza sale?","Non abbiamo prodotti senza additivi, grassi e sale. I valori sono in etichetta."
"Avete prodotti per la colazione con cereali e yogurt?","Alcuni prodotti contengono cereali e yogurt. Controlla l'etichetta."
"Come posso segnalare un problema di giustizia climatica?","Scrivi a info@moratogroup.com. Siamo impegnati nella giustizia climatica."
"Fate prodotti per la dieta senza glutine e senza oli e senza emulsionanti e senza conservanti?","Alcuni prodotti Nutrifree sono privi di glutine, oli, emulsionanti e conservanti artificiali. Controlla l'etichetta."
"Posso ottenere un report sull'uso di acqua?","Il report di sostenibilità include dati sul consumo di acqua. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza conservanti?","Sì, la maggior parte dei prodotti è senza additivi, coloranti, aromi e conservanti artificiali."
"Avete prodotti per la merenda con alghe?","No, i nostri prodotti non contengono alghe."
"Come posso fare una richiesta di collaborazione per un documentario ambientale?","Per documentari ambientali, scrivi a info@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza coloranti e senza conservanti?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, coloranti e conservanti artificiali."
"Posso ordinare prodotti per un evento di sensibilizzazione?","Per eventi di sensibilizzazione, contatta l'ufficio eventi all'indirizzo info@moratogroup.com."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti e senza conservanti?","Sì, molti prodotti sono privi di additivi, emulsionanti, coloranti e conservanti artificiali."
"Avete prodotti per la colazione con cereali e miele?","Alcuni prodotti contengono cereali e miele. Controlla l'etichetta."
"Come posso segnalare un problema di inquinamento da plastica?","Scrivi a sostenibilità@moratogroup.com. Lavoriamo per ridurre la plastica negli imballi."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi e senza zucchero?","I prodotti Nutrifree contengono oli, grassi e zucchero in quantità moderate. I valori sono in etichetta."
"Posso ottenere un report sulle energie rinnovabili?","Il report di sostenibilità include dati sulle energie rinnovabili. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza emulsionanti?","Sì, molti prodotti sono privi di additivi, coloranti, aromi e emulsionanti artificiali."
"Avete prodotti per la merenda con funghi?","No, i nostri prodotti non contengono funghi."
"Come posso fare una richiesta di collaborazione per un progetto educativo?","Per progetti educativi, scrivi a comunicazione@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza coloranti e senza emulsionanti?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, coloranti e emulsionanti artificiali."
"Posso ordinare prodotti per un evento di volontariato?","Per eventi di volontariato, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza conservanti e senza antiossidanti e senza coloranti?","Sì, non usiamo additivi, conservanti, antiossidanti né coloranti artificiali."
"Avete prodotti per la colazione con cereali e sciroppo d'agave?","Non utilizziamo sciroppo d'agave. I dolcificanti sono zucchero o miele."
"Come posso segnalare un problema di deforestazione?","Scrivi a sostenibilità@moratogroup.com. Siamo contro la deforestazione."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi e senza sale e senza zucchero?","Non abbiamo prodotti senza glutine, oli, grassi, sale e zucchero. I valori sono in etichetta."
"Posso ottenere un report sulla catena di fornitura?","Il report di sostenibilità include informazioni sulla catena di fornitura. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza conservanti e senza antiossidanti?","Sì, non usiamo additivi, emulsionanti, conservanti né antiossidanti artificiali."
"Avete prodotti per la merenda con tartufo?","No, i nostri prodotti non contengono tartufo."
"Come posso fare una richiesta di collaborazione per un festival?","Per festival, scrivi a eventi@moratopane.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza conservanti?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti e conservanti artificiali."
"Posso ordinare prodotti per un evento di innovazione?","Per eventi di innovazione, contatta l'ufficio marketing all'indirizzo marketing@moratogroup.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza dolcificanti?","Sì, non usiamo additivi, coloranti, aromi né dolcificanti artificiali."
"Avete prodotti per la colazione con cereali e burro di arachidi?","Non utilizziamo burro di arachidi. I nostri prodotti sono privi di arachidi."
"Come posso segnalare un problema di spreco alimentare?","Scrivi a sostenibilità@moratogroup.com. Lottiamo contro lo spreco alimentare."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi e senza additivi?","I prodotti Nutrifree contengono oli e grassi vegetali, ma sono senza additivi artificiali. Controlla l'etichetta."
"Posso ottenere un report sul riciclo degli imballi?","Il report di sostenibilità include dati sul riciclo. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza conservanti e senza coloranti e senza aromi e senza emulsionanti?","Sì, la maggior parte dei prodotti è senza additivi, conservanti, coloranti, aromi ed emulsionanti artificiali."
"Avete prodotti per la merenda con caviale?","No, i nostri prodotti non contengono caviale."
"Come posso fare una richiesta di collaborazione per una mostra?","Per mostre, scrivi a comunicazione@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza coloranti e senza conservanti e senza emulsionanti?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, coloranti, conservanti ed emulsionanti artificiali."
"Posso ordinare prodotti per un evento di design?","Per eventi di design, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza conservanti e senza dolcificanti?","Sì, non usiamo additivi, coloranti, aromi, conservanti né dolcificanti artificiali."
"Avete prodotti per la colazione con cereali e cioccolato fondente?","Alcuni prodotti contengono cereali e cioccolato fondente. Controlla l'etichetta."
"Come posso segnalare un problema di equità di genere?","Scrivi a compliance@moratogroup.com. Siamo impegnati nell'equità di genere."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi e senza additivi e senza conservanti?","I prodotti Nutrifree contengono oli e grassi vegetali, ma sono senza additivi e conservanti artificiali. Controlla l'etichetta."
"Posso ottenere un report sull'impatto sociale?","Il report di sostenibilità include dati sull'impatto sociale. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti e senza aromi e senza conservanti?","Sì, molti prodotti sono privi di additivi, emulsionanti, coloranti, aromi e conservanti artificiali."
"Avete prodotti per la merenda con foie gras?","No, i nostri prodotti non contengono foie gras."
"Come posso fare una richiesta di collaborazione per un programma TV?","Per programmi TV, scrivi a comunicazione@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza coloranti e senza conservanti?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti, coloranti e conservanti artificiali."
"Posso ordinare prodotti per un evento di moda?","Per eventi di moda, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza dolcificanti e senza conservanti?","Sì, non usiamo additivi, coloranti, aromi, dolcificanti né conservanti artificiali."
"Avete prodotti per la colazione con cereali e crema di nocciole?","Non utilizziamo crema di nocciole. I nostri prodotti sono privi di frutta a guscio."
"Come posso segnalare un problema di diritti dei lavoratori?","Utilizza il canale di whistleblowing o scrivi a compliance@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi e senza additivi e senza coloranti?","I prodotti Nutrifree contengono oli e grassi vegetali, ma sono senza additivi e coloranti artificiali. Controlla l'etichetta."
"Posso ottenere un report sulla sicurezza sul lavoro?","Il report di sostenibilità include dati sulla sicurezza. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza conservanti e senza coloranti e senza aromi e senza emulsionanti e senza dolcificanti?","Sì, la maggior parte dei prodotti è senza additivi, conservanti, coloranti, aromi, emulsionanti e dolcificanti artificiali."
"Avete prodotti per la merenda con salmone?","No, i nostri prodotti non contengono salmone."
"Come posso fare una richiesta di collaborazione per un podcast?","Per podcast, scrivi a comunicazione@moratogroup.com."
